token	BIEO	IOB2
Mycobacterial	O	O
infections	O	O
leading	O	O
cause	O	O
morbidity	O	O
mortality	O	O
among	O	O
human	B-virus	B-virus
immunodeficiency	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HIV	B-virus	B-virus
)	O	O
#NAME?	O	O
individuals	O	O
worldwide	O	O
.	O	O
		
Cervical	O	O
lymph	O	O
nodes	O	O
frequently	O	O
affected	O	O
extrapulmonary	O	O
sites	O	O
.	O	O
		
Despite	O	O
substantial	O	O
reduction	O	O
complications	O	O
HIV-tuberculosis	B-virus	B-virus
coinfection	O	O
,	O	O
proportion	O	O
individuals	O	O
develop	O	O
immune	O	O
reconstitution	O	O
inflammatory	O	O
syndrome	O	O
(	O	O
IRIS	O	O
)	O	O
,	O	O
term	O	O
used	O	O
clinical	O	O
deterioration	O	O
following	O	O
initiation	O	O
antiretroviral	O	O
therapy	O	O
(	O	O
ART	O	O
)	O	O
.	O	O
		
The	O	O
objective	O	O
study	O	O
describe	O	O
mycobacterial-associated	O	O
IRIS	O	O
cervical	O	O
lymph	O	O
nodes	O	O
HIV-infected	B-virus	B-virus
individuals	O	O
receiving	O	O
ART	O	O
.	O	O
