token	BIEO	IOB2
Epstein-Barr	B-virus	B-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
infection	O	O
presence	O	O
nasopharyngeal	O	O
cancer	O	O
(	O	O
NPC	O	O
)	O	O
case	O	O
family	O	O
increases	O	O
risk	O	O
developing	O	O
NPC	O	O
.	O	O
		
Aberrant	O	O
anti-EBV	B-virus	B-virus
immunoglobulin	O	O
A	O	O
(	O	O
IgA	O	O
)	O	O
antibodies	O	O
(	O	O
EBV-IgA	B-virus	B-virus
)	O	O
may	O	O
present	O	O
sera	O	O
non-cancer	O	O
individuals	O	O
predict	O	O
NPC	O	O
.	O	O
		
Limited	O	O
studies	O	O
report	O	O
presence	O	O
EBV-IgA	B-virus	B-virus
antibodies	O	O
within	O	O
non-cancer	O	O
individuals	O	O
Indonesia	O	O
disease	O	O
prevalent	O	O
.	O	O
		
This	O	O
study	O	O
aimed	O	O
exploring	O	O
whether	O	O
EBV-IgA	B-virus	B-virus
found	O	O
frequently	O	O
among	O	O
first	O	O
degree	O	O
relatives	O	O
NPC	O	O
patients	O	O
individuals	O	O
presenting	O	O
chronic	O	O
symptoms	O	O
head	O	O
neck	O	O
area	O	O
compared	O	O
healthy	O	O
controls	O	O
.	O	O
		
A	O	O
total	O	O
967	O	O
non-cancer	O	O
subjects	O	O
recruited	O	O
,	O	O
including	O	O
509	O	O
family	O	O
members	O	O
NPC	O	O
cases	O	O
,	O	O
196	O	O
individuals	O	O
chronic	O	O
complaints	O	O
head	O	O
neck	O	O
region	O	O
,	O	O
262	O	O
healthy	O	O
donors	O	O
local	O	O
blood	O	O
bank	O	O
.	O	O
		
Sera	O	O
analyzed	O	O
using	O	O
standardized	O	O
peptide-based	O	O
EBV-IgA	B-virus	B-virus
ELISA	O	O
.	O	O
		
Overall	O	O
,	O	O
61.6	O	O
%	O	O
individuals	O	O
anti-EBV	B-virus	B-virus
IgA	O	O
reactivity	O	O
equal	O	O
cut	O	O
value	O	O
(	O	O
CoV	O	O
)	O	O
.	O	O
		
Seroreactivity	O	O
CoV	O	O
significantly	O	O
higher	O	O
females	O	O
(	O	O
38.7	O	O
%	O	O
)	O	O
compared	O	O
males	O	O
(	O	O
28.7	O	O
%	O	O
)	O	O
(	O	O
p	O	O
=	O	O
0.001	O	O
)	O	O
.	O	O
		
Older	O	O
individuals	O	O
seroreactivity	O	O
CoV	O	O
(	O	O
42.5	O	O
%	O	O
)	O	O
younger	O	O
ones	O	O
(	O	O
26.4	O	O
%	O	O
)	O	O
(	O	O
p	O	O
<	O	O
0.001	O	O
)	O	O
.	O	O
		
Seroprevalence	O	O
significantly	O	O
higher	O	O
family	O	O
members	O	O
NPC	O	O
patients	O	O
(	O	O
41.7	O	O
%	O	O
)	O	O
,	O	O
compared	O	O
32.7	O	O
%	O	O
individuals	O	O
chronic	O	O
head	O	O
neck	O	O
problems	O	O
(	O	O
p	O	O
=	O	O
0.028	O	O
)	O	O
16.4	O	O
%	O	O
healthy	O	O
blood	O	O
donors	O	O
(	O	O
p	O	O
<	O	O
0.001	O	O
)	O	O
.	O	O
		
As	O	O
conclusion	O	O
,	O	O
study	O	O
showed	O	O
significant	O	O
higher	O	O
seroprevalence	O	O
healthy	O	O
family	O	O
members	O	O
NPC	O	O
cases	O	O
subjects	O	O
presenting	O	O
chronic	O	O
symptoms	O	O
head	O	O
neck	O	O
area	O	O
compared	O	O
healthy	O	O
individuals	O	O
general	O	O
community	O	O
.	O	O
		
This	O	O
finding	O	O
indicates	O	O
groups	O	O
elevated	O	O
risk	O	O
developing	O	O
NPC	O	O
may	O	O
serve	O	O
targets	O	O
regional	O	O
NPC	O	O
screening	O	O
program	O	O
.	O	O
