token	BIEO	IOB2
The	O	O
presence	O	O
HPV	B-virus	B-virus
16/18	O	O
EBV	B-virus	B-virus
analysed	O	O
archival	O	O
pathological	O	O
specimens	O	O
collected	O	O
patients	O	O
undergone	O	O
surgery	O	O
salivary	O	O
gland	O	O
diseases	O	O
.	O	O
		
HPV	B-virus	B-virus
16/18	O	O
DNA	O	O
detected	O	O
using	O	O
nested	O	O
polymerase	O	O
chain	O	O
reaction	O	O
(	O	O
PCR	O	O
)	O	O
confirmed	O	O
immunohistochemistry	O	O
.	O	O
		
EBV	B-virus	B-virus
DNA	O	O
detected	O	O
using	O	O
real-time	O	O
PCR	O	O
.	O	O
