token	BIEO	IOB2
Head	O	O
neck	O	O
cancers	O	O
(	O	O
HNC	O	O
)	O	O
,	O	O
90	O	O
%	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
SCC	O	O
)	O	O
,	O	O
rank	O	O
sixth	O	O
among	O	O
malignancies	O	O
worldwide	O	O
comprise	O	O
40-50	O	O
%	O	O
total	O	O
number	O	O
malignancies	O	O
India	O	O
.	O	O
		
In	O	O
addition	O	O
alcohol	O	O
tobacco	O	O
usage	O	O
,	O	O
major	O	O
source	O	O
oral	O	O
carcinogens	O	O
,	O	O
viruses	B-virus	B-virus
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
may	O	O
also	O	O
contribute	O	O
development	O	O
malignancy	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
identify	O	O
prevalence	O	O
HPV	B-virus	B-virus
head	O	O
neck	O	O
cancers	O	O
using	O	O
material	O	O
metastatic	O	O
site	O	O
.	O	O
		
A	O	O
total	O	O
111	O	O
cases	O	O
neck	O	O
nodal	O	O
metastases	O	O
included	O	O
study	O	O
.	O	O
		
The	O	O
primary	O	O
identified	O	O
oral	O	O
cavity	O	O
,	O	O
oropharynx	O	O
nasopharynx	O	O
.	O	O
		
In	O	O
subset	O	O
,	O	O
primary	O	O
remained	O	O
``	O	O
unknown	O	O
.	O	O
''	O	O
		
Polymerase	O	O
chain	O	O
reaction	O	O
carried	O	O
detect	O	O
HPV	B-virus	B-virus
DNA	O	O
fine	O	O
needle	O	O
aspirates	O	O
.	O	O
		
HPV	B-virus	B-virus
detected	O	O
32.4	O	O
%	O	O
cases	O	O
.	O	O
		
Maximum	O	O
positivity	O	O
observed	O	O
metastases	O	O
primary	O	O
oral	O	O
cavity	O	O
(	O	O
47.1	O	O
%	O	O
)	O	O
tongue	O	O
(	O	O
55	O	O
%	O	O
)	O	O
,	O	O
followed	O	O
oropharynx	O	O
(	O	O
25	O	O
%	O	O
)	O	O
nasopharynx	O	O
(	O	O
5	O	O
%	O	O
)	O	O
cases	O	O
.	O	O
		
In	O	O
unknown	O	O
primary	O	O
group	O	O
,	O	O
HPV	B-virus	B-virus
detected	O	O
52.9	O	O
%	O	O
cases	O	O
.	O	O
		
Study	O	O
defines	O	O
association	O	O
HPV	B-virus	B-virus
HNC	O	O
population	O	O
northern	O	O
India	O	O
.	O	O
		
There	O	O
varied	O	O
association	O	O
HPV	O	O
depending	O	O
site	O	O
primary	O	O
tumor	O	O
arising	O	O
mucosal	O	O
surfaces	O	O
head	O	O
neck	O	O
region	O	O
.	O	O
