token	BIEO	IOB2
MEDLINE	O	O
,	O	O
Embase	O	O
grey	O	O
literature	O	O
sources	O	O
systematically	O	O
searched	O	O
primary	O	O
studies	O	O
published	O	O
English	O	O
July	O	O
2002	O	O
July	O	O
2012	O	O
,	O	O
reported	O	O
prevalence	O	O
HPV	B-virus	B-virus
infection	O	O
head	O	O
neck	O	O
cancers	O	O
European	O	O
populations	O	O
.	O	O
		
Studies	O	O
non-European	O	O
populations	O	O
,	O	O
published	O	O
English	O	O
,	O	O
assessing	O	O
patients	O	O
co-infected	O	O
human	B-virus	B-virus
immunodeficiency	I-virus	I-virus
virus	E-virus	I-virus
excluded	O	O
.	O	O
		
Eligible	O	O
studies	O	O
combined	O	O
meta-analysis	O	O
.	O	O
		
In	O	O
addition	O	O
,	O	O
potential	O	O
statistical	O	O
association	O	O
head	O	O
neck	O	O
cancers	O	O
certain	O	O
HPV	B-virus	B-virus
types	O	O
investigated	O	O
.	O	O
