token	BIEO	IOB2
Regarding	O	O
issue	O	O
coincidence	O	O
HPV-induced	B-virus	B-virus
oropharyngeal	O	O
and/or	O	O
anogenital	O	O
cancers	O	O
couples	O	O
,	O	O
13	O	O
case-reports	O	O
case-series	O	O
reported	O	O
9	O	O
larger	O	O
studies	O	O
based	O	O
population-registries	O	O
.	O	O
		
Four	O	O
registry	O	O
studies	O	O
showed	O	O
increased	O	O
risk	O	O
cervical	O	O
cancer	O	O
partner	O	O
four	O	O
.	O	O
		
Among	O	O
four	O	O
positive	O	O
studies	O	O
,	O	O
odds	O	O
ratios	O	O
development	O	O
HPV-related	B-virus	B-virus
cancer	O	O
among	O	O
spouses	O	O
2.6	O	O
6.7	O	O
.	O	O
		
One	O	O
study	O	O
showed	O	O
increased	O	O
risk	O	O
tongue	O	O
tonsil	O	O
cancer	O	O
among	O	O
husbands	O	O
women	O	O
cervical	O	O
dysplasia	O	O
cancer	O	O
.	O	O
		
Overall	O	O
absolute	O	O
risk	O	O
increase	O	O
studies	O	O
small	O	O
,	O	O
order	O	O
1月3日	O	O
%	O	O
,	O	O
although	O	O
potentially	O	O
underestimated	O	O
.	O	O
		
Indeed	O	O
,	O	O
studies	O	O
assessed	O	O
partner	O	O
's	O	O
cancer	O	O
risk	O	O
one	O	O
anatomical	O	O
site	O	O
whereas	O	O
HPV-	B-virus	B-virus
related	O	O
malignancies	O	O
affect	O	O
different	O	O
locations	O	O
.	O	O
