token	BIEO	IOB2
Fine	O	O
needle	O	O
aspirates	O	O
(	O	O
FNA	O	O
)	O	O
cervical	O	O
lymph	O	O
nodes	O	O
pre-operatively	O	O
obtained	O	O
patients	O	O
suspected	O	O
HNSCCs	O	O
evaluated	O	O
presence	O	O
HPV	B-virus	B-virus
using	O	O
HC-2	O	O
assay	O	O
.	O	O
		
HPV	B-virus	B-virus
analysis	O	O
performed	O	O
corresponding	O	O
resected	O	O
tissue	O	O
specimens	O	O
using	O	O
p16	O	O
immunohistochemistry	O	O
(	O	O
IHC	O	O
)	O	O
HR-HPV	B-virus	B-virus
situ	O	O
hybridization	O	O
(	O	O
ISH	O	O
)	O	O
.	O	O
		
A	O	O
cost	O	O
analysis	O	O
performed	O	O
using	O	O
Center	O	O
Medicare	O	O
&	O	O
Medicaid	O	O
Services	O	O
.	O	O
