token	BIEO	IOB2
Head	O	O
neck	O	O
cancer	O	O
sixth	O	O
common	O	O
malignancy	O	O
worldwide	O	O
.	O	O
		
Tobacco	O	O
smoking	O	O
alcohol	O	O
consumption	O	O
two	O	O
well	O	O
known	O	O
behavioral	O	O
risk	O	O
factors	O	O
associated	O	O
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
Recently	O	O
,	O	O
evidence	O	O
mounting	O	O
infection	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
,	O	O
commonly	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus-16	E-virus	I-virus
responsible	O	O
subset	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
especially	O	O
tumors	O	O
tonsillar	O	O
origin	O	O
.	O	O
		
The	O	O
molecular	O	O
pathway	O	O
used	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
trigger	O	O
malignant	O	O
transformation	O	O
tissue	O	O
different	O	O
well	O	O
known	O	O
risk	O	O
factors	O	O
,	O	O
i.e	O	O
.	O	O
		
smoking	O	O
alcohol	O	O
,	O	O
associated	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
.	O	O
		
Apparently	O	O
,	O	O
subsets	O	O
patients	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
positive	O	O
tumor	O	O
likely	O	O
better	O	O
prognosis	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
negative	O	O
tumor	O	O
.	O	O
		
Considering	O	O
fact	O	O
,	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
infection	O	O
determined	O	O
oropharyngeal	O	O
cancers	O	O
since	O	O
major	O	O
impact	O	O
decision	O	O
making	O	O
process	O	O
treatment	O	O
.	O	O
