token	BIEO	IOB2
Human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
recently	O	O
recognised	O	O
carcinogenic	O	O
factor	O	O
subset	O	O
head	O	O
neck	O	O
cancers	O	O
(	O	O
HNC	O	O
)	O	O
.	O	O
		
In	O	O
Europe	O	O
,	O	O
France	O	O
one	O	O
highest	O	O
incidence	O	O
rates	O	O
HNC	O	O
.	O	O
		
The	O	O
aim	O	O
study	O	O
explore	O	O
changes	O	O
HNC	O	O
incidence	O	O
France	O	O
,	O	O
potentially	O	O
relation	O	O
infection	O	O
HPV	B-virus	B-virus
.	O	O
		
HNC	O	O
classified	O	O
two	O	O
anatomical	O	O
groups	O	O
:	O	O
potentially	O	O
HPV-related	B-virus	B-virus
HPV-unrelated	B-virus	B-virus
.	O	O
		
Trends	O	O
period	O	O
1980-2012	O	O
analysed	O	O
age-period-cohort	O	O
model	O	O
based	O	O
data	O	O
eleven	O	O
French	O	O
cancer	O	O
registries	O	O
.	O	O
		
Among	O	O
men	O	O
,	O	O
age-standardised	O	O
incidence	O	O
rate	O	O
(	O	O
ASR	O	O
)	O	O
HNC	O	O
decreased	O	O
groups	O	O
,	O	O
less	O	O
HPV-related	B-virus	B-virus
sites	O	O
compared	O	O
unrelated	O	O
sites	O	O
,	O	O
especially	O	O
recent	O	O
years	O	O
(	O	O
annual	O	O
percentage	O	O
change	O	O
[	O	O
APC	O	O
]	O	O
period	O	O
2005-2012	O	O
:	O	O
-3.5	O	O
%	O	O
vs.	O	O
-5.4	O	O
%	O	O
)	O	O
.	O	O
		
Among	O	O
women	O	O
,	O	O
ASR	O	O
increased	O	O
groups	O	O
,	O	O
rapidly	O	O
HPV-related	B-virus	B-virus
compared	O	O
unrelated	O	O
sites	O	O
(	O	O
APC	O	O
period	O	O
2005-2012	O	O
:	O	O
1.9	O	O
%	O	O
vs.	O	O
-0.4	O	O
%	O	O
)	O	O
.	O	O
		
This	O	O
preferential	O	O
growth	O	O
HPV-related	B-virus	B-virus
versus	O	O
unrelated	O	O
HNC	O	O
observed	O	O
cohorts	O	O
born	O	O
1930	O	O
1935	O	O
.	O	O
		
The	O	O
differences	O	O
trends	O	O
possible	O	O
HPV-related	B-virus	B-virus
HPV-unrelated	B-virus	B-virus
sites	O	O
suggest	O	O
increasing	O	O
incidence	O	O
HNC	O	O
due	O	O
HPV	B-virus	B-virus
infection	O	O
.	O	O
		
The	O	O
difference	O	O
less	O	O
marked	O	O
men	O	O
compared	O	O
women	O	O
,	O	O
likely	O	O
higher	O	O
contamination	O	O
HPV-related	B-virus	B-virus
group	O	O
cancers	O	O
due	O	O
tobacco	O	O
alcohol	O	O
consumption	O	O
.	O	O
		
The	O	O
pattern	O	O
observed	O	O
consistent	O	O
observations	O	O
made	O	O
countries	O	O
,	O	O
studies	O	O
HPV	B-virus	B-virus
prevalence	O	O
HNC	O	O
evolution	O	O
sexual	O	O
behaviour	O	O
France	O	O
.	O	O
