token	BIEO	IOB2
Head	O	O
neck	O	O
cancer	O	O
(	O	O
HNC	O	O
)	O	O
currently	O	O
affects	O	O
approximately	O	O
11	O	O
200	O	O
people	O	O
UK	O	O
,	O	O
increasing	O	O
proportion	O	O
known	O	O
caused	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
.	O	O
		
We	O	O
undertook	O	O
systematic	O	O
review	O	O
studies	O	O
measuring	O	O
psychosocial	O	O
impact	O	O
HPV-related	B-virus	B-virus
HNC	O	O
also	O	O
studies	O	O
measuring	O	O
knowledge	O	O
link	O	O
HPV	B-virus	B-virus
HNC	O	O
among	O	O
different	O	O
populations	O	O
.	O	O
		
Searches	O	O
conducted	O	O
MEDLINE	O	O
,	O	O
Embase	O	O
,	O	O
PsycINFO	O	O
,	O	O
CINAHL	O	O
Plus	O	O
Web	O	O
Science	O	O
,	O	O
reference	O	O
forward	O	O
citation	O	O
searches	O	O
also	O	O
carried	O	O
included	O	O
studies	O	O
.	O	O
		
Studies	O	O
selected	O	O
(	O	O
)	O	O
original	O	O
peer-reviewed	O	O
research	O	O
(	O	O
qualitative	O	O
quantitative	O	O
)	O	O
,	O	O
(	O	O
ii	O	O
)	O	O
mentioned	O	O
HPV	B-virus	B-virus
HNC	O	O
,	O	O
(	O	O
iii	O	O
)	O	O
measured	O	O
aspect	O	O
psychosocial	O	O
impact	O	O
diagnosis	O	O
HPV-related	B-virus	B-virus
HNC	O	O
dependent	O	O
variable	O	O
and/or	O	O
(	O	O
iv	O	O
)	O	O
measured	O	O
knowledge	O	O
association	O	O
HPV	B-virus	B-virus
HNC	O	O
.	O	O
		
In	O	O
total	O	O
,	O	O
51	O	O
papers	O	O
met	O	O
inclusion	O	O
criteria	O	O
;	O	O
10	O	O
measuring	O	O
psychosocial	O	O
aspects	O	O
41	O	O
measuring	O	O
knowledge	O	O
link	O	O
HPV	B-virus	B-virus
HNC	O	O
.	O	O
		
Quality	O	O
life	O	O
HPV-positive	B-virus	B-virus
HNC	O	O
found	O	O
higher	O	O
,	O	O
lower	O	O
equivalent	O	O
HPV-negative	B-virus	B-virus
HNC	O	O
.	O	O
		
Longitudinal	O	O
studies	O	O
found	O	O
quality	O	O
life	O	O
patients	O	O
lowest	O	O
2月3日	O	O
months	O	O
diagnosis	O	O
studies	O	O
found	O	O
quality	O	O
life	O	O
almost	O	O
returned	O	O
baseline	O	O
levels	O	O
12	O	O
months	O	O
.	O	O
		
Knowledge	O	O
link	O	O
HPV	B-virus	B-virus
HNC	O	O
measured	O	O
among	O	O
different	O	O
populations	O	O
,	O	O
lowest	O	O
knowledge	O	O
general	O	O
population	O	O
highest	O	O
medical	O	O
dental	O	O
professionals	O	O
.	O	O
		
Due	O	O
limited	O	O
studies	O	O
carried	O	O
patients	O	O
measuring	O	O
psychosocial	O	O
impact	O	O
diagnosis	O	O
HPV-positive	B-virus	B-virus
HNC	O	O
,	O	O
future	O	O
work	O	O
needed	O	O
partners	O	O
HPV-positive	B-virus	B-virus
HNC	O	O
patients	O	O
health	O	O
professionals	O	O
caring	O	O
patients	O	O
.	O	O
		
The	O	O
limited	O	O
knowledge	O	O
association	O	O
HPV	B-virus	B-virus
HNC	O	O
among	O	O
general	O	O
population	O	O
also	O	O
indicates	O	O
need	O	O
research	O	O
explore	O	O
information	O	O
populations	O	O
receiving	O	O
.	O	O
