token	BIEO	IOB2
Human	B-virus	B-virus
papillomaviruses	E-virus	I-virus
(	O	O
HPVs	B-virus	B-virus
)	O	O
necessary	O	O
cause	O	O
anogenital	O	O
squamous	O	O
cell	O	O
carcinomas	O	O
(	O	O
SCC	O	O
)	O	O
subgroup	O	O
head	O	O
neck	O	O
SCC	O	O
,	O	O
i.e.	O	O
,	O	O
originating	O	O
oropharynx	O	O
.	O	O
		
The	O	O
key	O	O
events	O	O
high-risk	B-virus	B-virus
HPV	E-virus	I-virus
(	O	O
HRHPV	B-virus	B-virus
)	O	O
#NAME?	O	O
neoplastic	O	O
progression	O	O
include	O	O
persistent	O	O
infection	O	O
,	O	O
deregulated	O	O
expression	O	O
virus	B-virus	B-virus
early	O	O
genes	O	O
basal	O	O
epithelial	O	O
cells	O	O
,	O	O
local	O	O
immune	O	O
suppression	O	O
accumulation	O	O
chromosomal	O	O
alterations	O	O
.	O	O
		
Evidence	O	O
events	O	O
particularly	O	O
comes	O	O
studies	O	O
uterine	O	O
cervical	O	O
carcinogenesis	O	O
;	O	O
primary	O	O
premalignant	O	O
HRHPV-positive	B-virus	B-virus
lesions	O	O
head	O	O
neck	O	O
mucosa	O	O
seldomly	O	O
detected	O	O
.	O	O
		
Integration	O	O
virus	B-virus	B-virus
DNA	O	O
host	O	O
chromosomes	O	O
considered	O	O
important	O	O
driver	O	O
carcinogenesis	O	O
observed	O	O
40	O	O
90	O	O
%	O	O
uterine	O	O
cervical	O	O
SCC	O	O
(	O	O
UCSCC	O	O
)	O	O
oropharyngeal	O	O
SCC	O	O
(	O	O
OPSCC	O	O
)	O	O
,	O	O
dependent	O	O
integration	O	O
detection	O	O
method	O	O
used	O	O
HRHPV	B-virus	B-virus
type	O	O
.	O	O
		
In	O	O
OPSCC	O	O
,	O	O
>	O	O
90	O	O
%	O	O
HPV-positive	B-virus	B-virus
tumors	O	O
infected	O	O
HPV16	B-virus	B-virus
.	O	O
		
Ten	O	O
60	O	O
%	O	O
HPV-positive	B-virus	B-virus
tumors	O	O
thus	O	O
contain	O	O
extrachromosomal	B-virus	B-virus
(	O	O
episomal	B-virus	B-virus
)	O	O
virus	E-virus	I-virus
.	O	O
		
In	O	O
chapter	O	O
,	O	O
causes	O	O
consequences	O	O
HPV	B-virus	B-virus
integration	O	O
summarized	O	O
literature	O	O
,	O	O
special	O	O
focus	O	O
site	O	O
HPV	B-virus	B-virus
integration	O	O
cellular	O	O
genome	O	O
,	O	O
effect	O	O
expression	O	O
viral	O	O
oncogenes	O	O
(	O	O
particularly	O	O
E6	O	O
E7	O	O
)	O	O
,	O	O
human	O	O
(	O	O
tumor	O	O
)	O	O
gene	O	O
expression	O	O
deregulation	O	O
cell	O	O
proliferation	O	O
,	O	O
apoptosis	O	O
cell	O	O
signaling	O	O
pathways	O	O
.	O	O
		
Also	O	O
data	O	O
DNA	O	O
methylation	O	O
,	O	O
viral	O	O
load	O	O
clinical	O	O
outcome	O	O
relation	O	O
HPV	B-virus	B-virus
integration	O	O
provided	O	O
.	O	O
