token	BIEO	IOB2
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
ubiquitous	O	O
:	O	O
90	O	O
%	O	O
adult	O	O
population	O	O
infected	O	O
virus	B-virus	B-virus
.	O	O
		
EBV	B-virus	B-virus
capable	O	O
infecting	O	O
B	O	O
lymphocytes	O	O
epithelial	O	O
cells	O	O
throughout	O	O
body	O	O
including	O	O
head	O	O
neck	O	O
region	O	O
.	O	O
		
Transmission	O	O
occurs	O	O
mainly	O	O
exchange	O	O
saliva	O	O
.	O	O
		
The	O	O
infection	O	O
asymptomatic	O	O
mild	O	O
children	O	O
,	O	O
adolescents	O	O
young	O	O
adults	O	O
,	O	O
causes	O	O
infectious	O	O
mononucleosis	O	O
,	O	O
self-limiting	O	O
disease	O	O
characterized	O	O
lethargy	O	O
,	O	O
sore	O	O
throat	O	O
,	O	O
fever	O	O
lymphadenopathy	O	O
.	O	O
		
Once	O	O
established	O	O
,	O	O
virus	B-virus	B-virus
often	O	O
remains	O	O
latent	O	O
people	O	O
become	O	O
lifelong	O	O
carriers	O	O
without	O	O
experiencing	O	O
disease	O	O
.	O	O
		
However	O	O
,	O	O
people	O	O
,	O	O
latent	O	O
virus	B-virus	B-virus
capable	O	O
causing	O	O
malignant	O	O
tumours	O	O
,	O	O
nasopharyngeal	O	O
carcinoma	O	O
various	O	O
B-	O	O
T-cell	O	O
lymphomas	O	O
,	O	O
sites	O	O
including	O	O
head	O	O
,	O	O
neck	O	O
oropharyngeal	O	O
region	O	O
.	O	O
		
As	O	O
lymphoma	O	O
second-most	O	O
common	O	O
malignant	O	O
disease	O	O
head	O	O
,	O	O
neck	O	O
oral	O	O
region	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
oral	O	O
health	O	O
care	O	O
workers	O	O
including	O	O
dentists	O	O
specialists	O	O
responsibility	O	O
carry	O	O
thorough	O	O
clinical	O	O
examination	O	O
anatomical	O	O
region	O	O
view	O	O
identifying	O	O
diagnosing	O	O
lesions	O	O
may	O	O
represent	O	O
lymphomas	O	O
.	O	O
		
Early	O	O
detection	O	O
allows	O	O
early	O	O
treatment	O	O
resulting	O	O
better	O	O
prognosis	O	O
.	O	O
		
The	O	O
focus	O	O
review	O	O
morphology	O	O
,	O	O
transmission	O	O
carcinogenic	O	O
properties	O	O
EBV	B-virus	B-virus
clinical	O	O
diagnostic	O	O
aspects	O	O
range	O	O
EBV-associated	B-virus	B-virus
malignancies	O	O
occurring	O	O
head	O	O
,	O	O
neck	O	O
oral	O	O
region	O	O
.	O	O
		
As	O	O
carcinogenic	O	O
agents	O	O
,	O	O
viruses	B-virus	B-virus
contribute	O	O
significant	O	O
proportion	O	O
global	O	O
cancer	O	O
burden	O	O
:	O	O
approximately	O	O
15	O	O
%	O	O
human	O	O
cancers	O	O
,	O	O
worldwide	O	O
,	O	O
attributable	O	O
viruses.1,2	B-virus	B-virus
Serologic	O	O
epidemiologic	O	O
studies	O	O
providing	O	O
mounting	O	O
evidence	O	O
etiologic	O	O
association	O	O
viruses	B-virus	B-virus
head	O	O
neck	O	O
malignancies.3	O	O
To	O	O
update	O	O
oral	O	O
maxillofacial	O	O
surgeons	O	O
oral	O	O
medicine	O	O
specialists	O	O
raise	O	O
awareness	O	O
association	O	O
,	O	O
recently	O	O
reviewed	O	O
evidence	O	O
etiologic	O	O
role	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
oral	O	O
disease.4	O	O
In	O	O
paper	O	O
,	O	O
review	O	O
current	O	O
state	O	O
knowledge	O	O
association	O	O
Epstein-Barr	B-virus	B-virus
virus	E-virus	I-virus
(	O	O
EBV	B-virus	B-virus
)	O	O
malignant	O	O
diseases	O	O
head	O	O
neck	O	O
region	O	O
.	O	O
