token	BIEO	IOB2
Cowpox	B-virus	B-virus
viruses	E-virus	I-virus
orthopoxviruses	O	O
may	O	O
survive	O	O
environment	O	O
years	O	O
.	O	O
		
Rodents	O	O
regarded	O	O
primary	O	O
hosts	O	O
,	O	O
transmission	O	O
species	O	O
reported	O	O
.	O	O
		
This	O	O
report	O	O
describes	O	O
cowpox	B-virus	B-virus
virus	E-virus	I-virus
infection	O	O
cat	O	O
subsequent	O	O
transmission	O	O
owner	O	O
leading	O	O
protracted	O	O
,	O	O
atypical	O	O
severe	O	O
clinical	O	O
signs	O	O
.	O	O
		
A	O	O
young	O	O
cat	O	O
presented	O	O
multiple	O	O
crusts	O	O
plaques	O	O
neck	O	O
,	O	O
muzzle	O	O
tail	O	O
base	O	O
.	O	O
		
The	O	O
owner	O	O
developed	O	O
erythematous	O	O
lesion	O	O
elevated	O	O
margins	O	O
,	O	O
central	O	O
necrosis	O	O
crust	O	O
formation	O	O
left	O	O
breast	O	O
,	O	O
neurogenic	O	O
inflammation	O	O
,	O	O
enlarged	O	O
regional	O	O
lymph	O	O
nodes	O	O
,	O	O
colliquative	O	O
lymphadenitis	O	O
concomitant	O	O
flu-like	O	O
symptoms	O	O
.	O	O
		
Cultures	O	O
taken	O	O
first	O	O
visit	O	O
cat	O	O
's	O	O
lesional	O	O
skin	O	O
patient	O	O
's	O	O
skin	O	O
,	O	O
polymerase	O	O
chain	O	O
reaction	O	O
sequencing	O	O
haemagglutinin	O	O
region	O	O
positive	O	O
cowpox	B-virus	B-virus
virus	E-virus	I-virus
.	O	O
		
The	O	O
patient	O	O
treated	O	O
various	O	O
antibiotics	O	O
methylprednisolone	O	O
clinical	O	O
remission	O	O
7	O	O
months	O	O
.	O	O
