token	BIEO	IOB2
The	O	O
aim	O	O
study	O	O
ascertain	O	O
prevalence	O	O
prognostic	O	O
value	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
infection	O	O
status	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
.	O	O
		
Immunohistochemistry	O	O
GenoArray	O	O
HPV	B-virus	B-virus
genotyping	O	O
assays	O	O
used	O	O
evaluate	O	O
HPV	B-virus	B-virus
infection	O	O
status	O	O
256	O	O
Chinese	O	O
patients	O	O
head	O	O
neck	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
.	O	O
		
Long-term	O	O
survival	O	O
rates	O	O
calculated	O	O
using	O	O
Kaplan-Meier	O	O
method	O	O
.	O	O
		
Immunostaining	O	O
p16	O	O
prevalent	O	O
6.6	O	O
%	O	O
(	O	O
17/256	O	O
)	O	O
patients	O	O
,	O	O
whereas	O	O
HPV	B-virus	B-virus
infection	O	O
detected	O	O
9	O	O
256	O	O
(	O	O
3.5	O	O
%	O	O
)	O	O
patients	O	O
using	O	O
HPV	B-virus	B-virus
genotyping	O	O
test	O	O
.	O	O
		
None	O	O
p16-negative	O	O
subjects	O	O
found	O	O
HPV	B-virus	B-virus
infection	O	O
according	O	O
HPV	B-virus	B-virus
genotyping	O	O
test	O	O
.	O	O
		
P16	O	O
positivity	O	O
common	O	O
among	O	O
nonsmokers	O	O
smokers	O	O
(	O	O
16.3	O	O
%	O	O
vs.	O	O
4.7	O	O
%	O	O
,	O	O
respectively	O	O
;	O	O
P	O	O
=	O	O
0.02	O	O
)	O	O
.	O	O
		
Among	O	O
nine	O	O
HPV-positive	B-virus	B-virus
cases	O	O
,	O	O
seven	O	O
infected	O	O
HPV-16	B-virus	B-virus
,	O	O
one	O	O
HPV-33	B-virus	B-virus
,	O	O
one	O	O
HPV-16	B-virus	B-virus
HPV-11	B-virus	B-virus
.	O	O
		
The	O	O
3-year	O	O
overall	O	O
survival	O	O
rate	O	O
87.5	O	O
%	O	O
p16-positive/HPV-positive	B-virus	B-virus
patients	O	O
,	O	O
75	O	O
%	O	O
p16-positive/HPV-negative	B-virus	B-virus
patients	O	O
,	O	O
76.9	O	O
%	O	O
p16-negative/HPV-negative	B-virus	B-virus
patients	O	O
(	O	O
P	O	O
=	O	O
0.3	O	O
)	O	O
.	O	O
		
A	O	O
low	O	O
rate	O	O
HPV	B-virus	B-virus
infection	O	O
found	O	O
among	O	O
study	O	O
patients	O	O
.	O	O
		
HPV	B-virus	B-virus
infection	O	O
status	O	O
may	O	O
useful	O	O
prognostic	O	O
marker	O	O
head	O	O
neck	O	O
cancer	O	O
patients	O	O
.	O	O
