token	BIEO	IOB2
Oral	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
(	O	O
OSCC	O	O
)	O	O
prevalent	O	O
malignancy	O	O
among	O	O
males	O	O
India	O	O
.	O	O
		
While	O	O
tobacco	O	O
alcohol	O	O
main	O	O
aetiological	O	O
factors	O	O
,	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
presence	O	O
surprisingly	O	O
increased	O	O
head	O	O
neck	O	O
Squamous	O	O
Cell	O	O
Carcinoma	O	O
(	O	O
HNSCC	O	O
)	O	O
past	O	O
two	O	O
decade	O	O
frequency	O	O
OSCCS	O	O
still	O	O
uncertain	O	O
.	O	O
		
We	O	O
aim	O	O
explore	O	O
frequency	O	O
HPV	B-virus	B-virus
major	O	O
genotypes	O	O
North	O	O
Indian	O	O
patients	O	O
association	O	O
clinicopathological	O	O
histopathological	O	O
features	O	O
p16	O	O
expression	O	O
pattern	O	O
.	O	O
