token	BIEO	IOB2
HPV	B-virus	B-virus
DNA	O	O
detected	O	O
36/174	O	O
(	O	O
~21	O	O
%	O	O
)	O	O
samples	O	O
:	O	O
36	O	O
%	O	O
cancers	O	O
oropharynx	O	O
;	O	O
31	O	O
%	O	O
oral	O	O
cancers	O	O
,	O	O
22	O	O
%	O	O
larynx	O	O
.	O	O
		
HPV-16	B-virus	B-virus
common	O	O
,	O	O
present	O	O
33	O	O
samples	O	O
,	O	O
followed	O	O
HPV-33	B-virus	B-virus
(	O	O
2	O	O
samples	O	O
)	O	O
HPV-31	B-virus	B-virus
(	O	O
1	O	O
sample	O	O
)	O	O
.	O	O
		
Twenty-eight	O	O
174	O	O
samples	O	O
positive	O	O
p16	O	O
,	O	O
predominantly	O	O
HPV-positive	B-virus	B-virus
tissues	O	O
(	O	O
p	O	O
<	O	O
0.001	O	O
)	O	O
.	O	O
		
No	O	O
statistically	O	O
significant	O	O
association	O	O
observed	O	O
cellular	O	O
markers	O	O
HPV	B-virus	B-virus
DNA	O	O
positive	O	O
cases	O	O
.	O	O
		
However	O	O
,	O	O
p16	O	O
positivity	O	O
excellent	O	O
predictive	O	O
value	O	O
presence	O	O
HPV	B-virus	B-virus
PCR	O	O
.	O	O
