token	BIEO	IOB2
Eleven	O	O
patients	O	O
identified	O	O
:	O	O
5	O	O
synchronous	O	O
6	O	O
metachronous	O	O
HPV-positive	B-virus	B-virus
second	O	O
primary	O	O
tumors	O	O
,	O	O
latter	O	O
demonstrating	O	O
mean	O	O
time	O	O
interval	O	O
5	O	O
years	O	O
.	O	O
		
There	O	O
13	O	O
second	O	O
primary	O	O
tumors	O	O
:	O	O
11	O	O
oropharyngeal	O	O
,	O	O
1	O	O
nasopharyngeal	O	O
,	O	O
1	O	O
floor	O	O
mouth	O	O
.	O	O
		
Nine	O	O
10	O	O
genotyped	O	O
patients	O	O
harbored	O	O
HPV-16	O	O
,	O	O
1	O	O
patient	O	O
HPV-33	O	O
3	O	O
synchronous	O	O
tumors	O	O
.	O	O
