token	BIEO	IOB2
The	O	O
increasing	O	O
incidence	O	O
head	O	O
neck	O	O
cancer	O	O
(	O	O
HNSCC	O	O
)	O	O
highlights	O	O
need	O	O
better	O	O
understand	O	O
role	O	O
human	B-virus	B-virus
papillomavirus	E-virus	I-virus
(	O	O
HPV	B-virus	B-virus
)	O	O
development	O	O
cancers	O	O
.	O	O
		
The	O	O
aims	O	O
study	O	O
conduct	O	O
systematic	O	O
review	O	O
meta-analysis	O	O
concerning	O	O
observational	O	O
studies	O	O
association	O	O
HPV	B-virus	B-virus
infection	O	O
HNSCC	O	O
quantify	O	O
association	O	O
,	O	O
thereby	O	O
obtaining	O	O
reliable	O	O
estimation	O	O
risk	O	O
HPV	B-virus	B-virus
infection	O	O
development	O	O
head	O	O
neck	O	O
cancer	O	O
.	O	O
		
Literature	O	O
searches	O	O
performed	O	O
using	O	O
PubMed	O	O
Scopus	O	O
databases	O	O
.	O	O
		
StatsDirect	O	O
2.7.8	O	O
program	O	O
used	O	O
analysis	O	O
.	O	O
		
We	O	O
found	O	O
15	O	O
case-control	O	O
studies	O	O
,	O	O
63	O	O
prevalence	O	O
studies	O	O
,	O	O
cohort	O	O
studies	O	O
.	O	O
		
The	O	O
pooled	O	O
odds	O	O
ratio	O	O
(	O	O
OR	O	O
)	O	O
included	O	O
case-control	O	O
studies	O	O
resulted	O	O
value	O	O
1.63	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
1.27-2.09	O	O
;	O	O
P	O	O
<	O	O
0.0001	O	O
)	O	O
.	O	O
		
The	O	O
highest	O	O
pooled	O	O
OR	O	O
resulted	O	O
analysis	O	O
studies	O	O
examined	O	O
HPV	B-virus	B-virus
16	O	O
genotype	O	O
association	O	O
oral	O	O
cavity	O	O
(	O	O
OR	O	O
5.36	O	O
;	O	O
95	O	O
%	O	O
CI	O	O
1.4-20	O	O
)	O	O
.	O	O
		
The	O	O
strong	O	O
evidence	O	O
association	O	O
HPV	B-virus	B-virus
infection	O	O
HNSCC	O	O
highlights	O	O
importance	O	O
introduction	O	O
specific	O	O
tests	O	O
cancer	O	O
prevention	O	O
practices	O	O
evaluate	O	O
presence	O	O
virus	O	O
,	O	O
especially	O	O
oral	O	O
cavity	O	O
,	O	O
possibility	O	O
extension	O	O
vaccine	O	O
anti-HPV	B-virus	B-virus
male	O	O
population	O	O
.	O	O
