token	BIEO	IOB2
93	O	O
patients	O	O
HNSCC	O	O
included	O	O
.	O	O
		
Sensitivity	O	O
specificity	O	O
brush	O	O
test	O	O
83	O	O
%	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
67-92	O	O
%	O	O
)	O	O
85	O	O
%	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
72-93	O	O
%	O	O
)	O	O
.	O	O
		
Results	O	O
p16	O	O
IHC	O	O
concordant	O	O
FFPE	O	O
samples	O	O
DNA	O	O
determinations	O	O
73/93	O	O
patients	O	O
.	O	O
		
In	O	O
53	O	O
patients	O	O
(	O	O
57	O	O
%	O	O
)	O	O
tumor	O	O
located	O	O
oropharynx	O	O
40	O	O
patients	O	O
(	O	O
43	O	O
%	O	O
)	O	O
tumor	O	O
located	O	O
non-oropharynx	O	O
region	O	O
.	O	O
		
Sensitivity	O	O
specificity	O	O
brush	O	O
test	O	O
patients	O	O
oropharyngeal	O	O
cancer	O	O
higher	O	O
86	O	O
%	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
70-95	O	O
%	O	O
)	O	O
89	O	O
%	O	O
(	O	O
95	O	O
%	O	O
CI	O	O
:	O	O
65-99	O	O
%	O	O
)	O	O
.	O	O
