token	BIEO	IOB2
Human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
positive	O	O
(	O	O
HPV+	B-virus	B-virus
)	O	O
tumors	O	O
represent	O	O
large	O	O
proportion	O	O
anal	O	O
,	O	O
vulvar	O	O
,	O	O
vaginal	O	O
,	O	O
cervical	O	O
head	O	O
neck	O	O
squamous	O	O
carcinomas	O	O
(	O	O
HNSCC	O	O
)	O	O
late	O	O
stage	O	O
invasive	O	O
disease	O	O
thought	O	O
originate	O	O
premalignant	O	O
state	O	O
.	O	O
		
Cyclic	O	O
dinucleotides	O	O
activate	O	O
STimulator	O	O
INterferon	O	O
Genes	O	O
(	O	O
STING	O	O
)	O	O
shown	O	O
cause	O	O
rapid	O	O
regression	O	O
range	O	O
advanced	O	O
tumors	O	O
.	O	O
		
We	O	O
aimed	O	O
investigate	O	O
STING	O	O
ligands	O	O
novel	O	O
treatment	O	O
papilloma	O	O
.	O	O
		
We	O	O
tested	O	O
therapies	O	O
spontaneous	O	O
mouse	O	O
model	O	O
papilloma	O	O
face	O	O
anogenital	O	O
region	O	O
histologically	O	O
resembles	O	O
human	O	O
HPV-associated	B-virus	B-virus
papilloma	O	O
.	O	O
		
We	O	O
demonstrate	O	O
STING	O	O
ligands	O	O
cause	O	O
rapid	O	O
regression	O	O
papilloma	O	O
,	O	O
associated	O	O
T	O	O
cell	O	O
infiltration	O	O
,	O	O
significantly	O	O
effective	O	O
Imiquimod	O	O
,	O	O
current	O	O
immunotherapy	O	O
papilloma	O	O
.	O	O
		
In	O	O
humans	O	O
,	O	O
show	O	O
STING	O	O
expressed	O	O
basal	O	O
layer	O	O
normal	O	O
skin	O	O
lost	O	O
keratinocyte	O	O
differentiation	O	O
.	O	O
		
We	O	O
found	O	O
STING	O	O
expressed	O	O
HPV-associated	B-virus	B-virus
cervical	O	O
anal	O	O
dysplasia	O	O
strongly	O	O
expressed	O	O
cancer	O	O
cells	O	O
HPV+	B-virus	B-virus
HNSCC	O	O
HPV-unrelated	B-virus	B-virus
HNSCC	O	O
.	O	O
		
We	O	O
found	O	O
strong	O	O
association	O	O
STING	O	O
expression	O	O
progressive	O	O
disease	O	O
non-HPV	B-virus	B-virus
oral	O	O
dysplasia	O	O
oral	O	O
pre-malignancies	O	O
HPV-related	B-virus	B-virus
.	O	O
		
These	O	O
data	O	O
demonstrate	O	O
STING	O	O
expressed	O	O
basal	O	O
cells	O	O
skin	O	O
retained	O	O
HPV+	B-virus	B-virus
pre-malignancies	O	O
advanced	O	O
cancers	O	O
,	O	O
HPV-unrelated	B-virus	B-virus
HNSCC	O	O
.	O	O
		
However	O	O
,	O	O
using	O	O
murine	O	O
HNSCC	O	O
model	O	O
express	O	O
STING	O	O
,	O	O
demonstrate	O	O
STING	O	O
ligands	O	O
effective	O	O
therapy	O	O
regardless	O	O
expression	O	O
STING	O	O
cancer	O	O
cells	O	O
.	O	O
