token	BIEO	IOB2
The	O	O
frequency	O	O
viral	O	O
detection	O	O
41	O	O
%	O	O
(	O	O
31/75	O	O
)	O	O
.	O	O
		
The	O	O
respiratory	B-virus	B-virus
virus	E-virus	I-virus
frequently	O	O
detected	O	O
human	B-virus	B-virus
rhinovirus	E-virus	I-virus
,	O	O
found	O	O
18	O	O
patients	O	O
(	O	O
24	O	O
%	O	O
)	O	O
,	O	O
followed	O	O
human	B-virus	B-virus
metapneumovirus	E-virus	I-virus
,	O	O
human	B-virus	B-virus
enterovirus	E-virus	I-virus
,	O	O
human	B-virus	B-virus
respiratory	I-virus	I-virus
sincicial	I-virus	I-virus
virus	E-virus	I-virus
,	O	O
human	B-virus	B-virus
adenovirus	E-virus	I-virus
,	O	O
human	B-virus	B-virus
bocavirus	E-virus	I-virus
,	O	O
human	B-virus	B-virus
coronavirus	E-virus	I-virus
,	O	O
human	B-virus	B-virus
influenza	I-virus	I-virus
virus	E-virus	I-virus
,	O	O
detected	O	O
12	O	O
(	O	O
16	O	O
%	O	O
)	O	O
,	O	O
five	O	O
(	O	O
6.6	O	O
%	O	O
)	O	O
,	O	O
four	O	O
(	O	O
5.3	O	O
%	O	O
)	O	O
,	O	O
four	O	O
(	O	O
5.3	O	O
%	O	O
)	O	O
,	O	O
two	O	O
(	O	O
2.6	O	O
%	O	O
)	O	O
,	O	O
two	O	O
(	O	O
2.6	O	O
%	O	O
)	O	O
,	O	O
one	O	O
(	O	O
1.3	O	O
%	O	O
)	O	O
patient	O	O
(	O	O
)	O	O
,	O	O
respectively	O	O
.	O	O
		
Although	O	O
none	O	O
patients	O	O
presented	O	O
symptoms	O	O
samples	O	O
collected	O	O
,	O	O
peak	O	O
detection	O	O
prevalent	O	O
virus	B-virus	B-virus
autumn	O	O
winter	O	O
seasons	O	O
years	O	O
,	O	O
similar	O	O
pattern	O	O
occurs	O	O
acute	O	O
conditions	O	O
.	O	O
