token	BIEO	IOB2
HPV16	B-virus	B-virus
present	O	O
one	O	O
OSCC	O	O
(	O	O
3	O	O
%	O	O
)	O	O
.	O	O
		
TP53	O	O
mutations	O	O
found	O	O
14	O	O
(	O	O
45	O	O
%	O	O
)	O	O
OSCC	O	O
:	O	O
five	O	O
missense	O	O
nine	O	O
resulted	O	O
truncated	O	O
protein	O	O
.	O	O
		
Six	O	O
latter	O	O
insertions	O	O
deletions	O	O
one	O	O
nucleotides	O	O
leading	O	O
frameshift	O	O
,	O	O
one	O	O
splice	O	O
site	O	O
two	O	O
resulted	O	O
stop	O	O
codon	O	O
.	O	O
		
The	O	O
percentage	O	O
truncating	O	O
mutations	O	O
(	O	O
64	O	O
%	O	O
mutations	O	O
)	O	O
higher	O	O
observed	O	O
institute	O	O
's	O	O
reference	O	O
group	O	O
(	O	O
44	O	O
%	O	O
,	O	O
P	O	O
=	O	O
0.23	O	O
)	O	O
independent	O	O
reference	O	O
group	O	O
(	O	O
24	O	O
%	O	O
,	O	O
P	O	O
=	O	O
0.002	O	O
)	O	O
.	O	O
