token	BIEO	IOB2
This	O	O
study	O	O
conducted	O	O
1998	O	O
2013	O	O
included	O	O
patients	O	O
HPV-related	B-virus	B-virus
OPSCC	O	O
treated	O	O
surgery	O	O
without	O	O
adjuvant	O	O
therapy	O	O
pN3	O	O
nodal	O	O
disease	O	O
.	O	O
		
The	O	O
primary	O	O
outcome	O	O
disease-specific	O	O
survival	O	O
(	O	O
DSS	O	O
)	O	O
.	O	O
		
Secondary	O	O
outcomes	O	O
included	O	O
overall	O	O
survival	O	O
(	O	O
OS	O	O
)	O	O
,	O	O
disease-free	O	O
survival	O	O
(	O	O
DFS	O	O
)	O	O
,	O	O
adverse	O	O
events	O	O
,	O	O
gastrostomy	O	O
tube	O	O
rates	O	O
.	O	O
